,Article,Good_min,Good_max,Good_Partial_min,Good_Partial_max,Partial_min,Partial_max,Bad_min,Bad_max
0,A.C.F._Fiorentina,0.8169649035706131,0.9777012181000476,0.15234741924373119,0.8658991264454959,0.5522430134538183,0.7019460835346111,0.04765004886755673,0.7703641330766695
1,A1_Grand_Prix,0.7015724130965038,1.0,0.15234741924373119,0.891157483208405,0.2893304224280224,0.7019460835346111,0.04765004886755673,0.7871196136867441
2,AAC,0.6716775156806432,1.0,0.15234741924373119,0.891157483208405,0.2893304224280224,0.7428833151649747,0.0,0.8409013391368239
3,A_major,0.6716775156806432,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8409013391368239
4,Aboriginal_land_rights_in_Australia,0.6716775156806432,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8733095350662357
5,Absolute_zero,0.6716775156806432,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8733095350662357
6,Academy_Award_for_Best_Picture_(1930s),0.6716775156806432,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8733095350662357
7,Academy_Award_for_Best_Picture_(1950s),0.6716775156806432,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
8,Accent,0.6716775156806432,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
9,Accession_of_Romania_to_the_European_Union,0.537771029730037,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
10,Acherontia_atropos,0.5156123748025006,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
11,Actor,0.5156123748025006,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
12,Adolf_von_Henselt,0.5156123748025006,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
13,Adrian_Lowe,0.5156123748025006,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
14,Advaita_Vedanta,0.3052853196727061,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
15,Aegyptosaurus,0.3052853196727061,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
16,Aemilianus,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7428833151649747,0.0,0.8759828818905857
17,Aerospace_engineering,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.7429831475642145,0.0,0.8759828818905857
18,African_elephant,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8013541858385808,0.0,0.8759828818905857
19,Agathis,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8013541858385808,0.0,0.8759828818905857
20,Akilattirattu_Ammanai,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8013541858385808,0.0,0.8759828818905857
21,Alchemy,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
22,Alcina,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
23,Aldeburgh_Festival,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
